Observation,ID,Patient,Genome
M420_Ctrl_Counts,M420_Ctrl,M420,GRCh37
WM_1366_Ctrl_Counts,WM_1366_Ctrl,WM_1366,GRCh37
M202_Ctrl_Counts,M202_Ctrl,M202,GRCh37
M243_Ctrl_Counts,M243_Ctrl,M243,GRCh37
M249_AR_Ctrl_Counts,M249_AR_Ctrl,M249_AR,GRCh37
M249_Ctrl_Counts,M249_Ctrl,M249,GRCh37
M308_Ctrl_Counts,M308_Ctrl,M308,GRCh37
M376_Ctrl_Counts,M376_Ctrl,M376,GRCh37
M383_Ctrl_Counts,M383_Ctrl,M383,GRCh37
M406_Ctrl_Counts,M406_Ctrl,M406,GRCh37
M407_Ctrl_Counts,M407_Ctrl,M407,GRCh37
M410_Ctrl_Counts,M410_Ctrl,M410,GRCh37
SK_MEL_176_Ctrl_Counts,SK_MEL_176_Ctrl,SK_MEL_176,GRCh37
M207_Ctrl_Counts,M207_Ctrl,M207,GRCh37
M238_AR_Ctrl_Counts,M238_AR_Ctrl,M238_AR,GRCh37
M238_Ctrl_Counts,M238_Ctrl,M238,GRCh37
M244_Ctrl_Counts,M244_Ctrl,M244,GRCh37
M257_Ctrl_Counts,M257_Ctrl,M257,GRCh37
M262_Ctrl_Counts,M262_Ctrl,M262,GRCh37
M285_Ctrl_Counts,M285_Ctrl,M285,GRCh37
M297_Ctrl_Counts,M297_Ctrl,M297,GRCh37
M299_Ctrl_Counts,M299_Ctrl,M299,GRCh37
M318_Ctrl_Counts,M318_Ctrl,M318,GRCh37
M368_Ctrl_Counts,M368_Ctrl,M368,GRCh37
M370_Ctrl_Counts,M370_Ctrl,M370,GRCh37
M375_Ctrl_Counts,M375_Ctrl,M375,GRCh37
M381_Ctrl_Counts,M381_Ctrl,M381,GRCh37
M397_AR_Ctrl_Counts,M397_AR_Ctrl,M397_AR,GRCh37
M397_Ctrl_Counts,M397_Ctrl,M397,GRCh37
M399_Ctrl_Counts,M399_Ctrl,M399,GRCh37
M409_Ctrl_Counts,M409_Ctrl,M409,GRCh37
M411_Ctrl_Counts,M411_Ctrl,M411,GRCh37
M414_Ctrl_Counts,M414_Ctrl,M414,GRCh37
M417_Ctrl_Counts,M417_Ctrl,M417,GRCh37
M418_Ctrl_Counts,M418_Ctrl,M418,GRCh37
Me215_Ctrl_Counts,Me215_Ctrl,Me215,GRCh37
Me252_Ctrl_Counts,Me252_Ctrl,Me252,GRCh37
PB_Ctrl_Counts,PB_Ctrl,PB,GRCh37
SBcl2_Ctrl_Counts,SBcl2_Ctrl,SBcl2,GRCh37
T1349a_Ctrl_Counts,T1349a_Ctrl,T1349a,GRCh37
T311b_Ctrl_Counts,T311b_Ctrl,T311b,GRCh37
T618a_Ctrl_Counts,T618a_Ctrl,T618a,GRCh37
T640a_Ctrl_Counts,T640a_Ctrl,T640a,GRCh37
M263_Ctrl_Counts,M263_Ctrl,M263,GRCh37
M398_Ctrl_Counts,M398_Ctrl,M398,GRCh37
HeMa_Ctrl_Counts,HeMa_Ctrl,HeMa,GRCh37
M233_Ctrl_Counts,M233_Ctrl,M233,GRCh37
M395_Ctrl_Counts,M395_Ctrl,M395,GRCh37
